season,name,height,weight,game,game_date,age,min,fgm,fga,fg_percent,three_pm,three_pa,three_percent,ftm,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus
2022,Luka Dončić,6-7,230,17,2021-12-01,22,27:27,11,16,.688,2,5,.400,4,4,1.000,1,3,4,14,1,0,8,1,28,+29
2022,Luka Dončić,6-7,230,18,2021-12-03,22,34:51,7,20,.350,0,6,.000,7,9,.778,1,9,10,7,0,0,7,4,21,-10
2022,Luka Dončić,6-7,230,,2021-12-04,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,19,2021-12-07,22,36:33,9,21,.429,3,11,.273,7,8,.875,1,5,6,9,0,0,1,5,28,-2
2022,Luka Dončić,6-7,230,20,2021-12-08,22,35:55,10,19,.526,5,10,.500,1,2,.500,0,8,8,7,1,0,9,1,26,+18
2022,Luka Dončić,6-7,230,21,2021-12-10,22,36:53,11,25,.440,1,8,.125,4,4,1.000,2,7,9,9,1,1,3,4,27,-9
2022,Luka Dončić,6-7,230,,2021-12-12,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,,2021-12-13,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,,2021-12-15,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,,2021-12-19,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,,2021-12-21,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,,2021-12-23,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,,2021-12-25,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,,2021-12-27,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,,2021-12-29,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,,2021-12-31,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,22,2022-01-02,22,31:27,6,14,.429,2,6,.333,0,0,,0,9,9,10,1,0,7,1,14,-4
2022,Luka Dončić,6-7,230,23,2022-01-03,22,33:55,7,18,.389,1,6,.167,6,8,.750,0,8,8,15,4,0,3,5,21,+25
